#{"t_start": 1747816635.5953107, "env_id": "None"}
r,l,t
28.359671,100,53.69477
17.939505,100,81.133821
31.983879,100,82.097842
11.845989,100,82.872836
27.540357,100,233.077833
34.670764,100,234.327265
18.309333,100,235.077663
24.574227,100,235.649239
24.446435,100,236.357327
13.417457,100,237.046443
36.585048,100,237.715877
27.840529,100,238.355827
33.238394,100,238.959704
19.978599,100,239.659364
24.883163,100,240.452514
16.439487,100,241.06578
22.386302,100,241.648789
18.096465,100,242.170096
32.035445,100,242.600852
17.159059,100,243.25843
20.226157,100,243.735311
20.488971,100,244.282629
44.20875,100,244.857779
13.805032,100,245.407561
33.050074,100,246.48721
30.927301,100,247.80074
17.656105,100,248.46557
20.390795,100,248.947548
